Date,Days_after_First_Cases,전국 누적확진자,전국 신규확진자,수도권 누적확진자,수도권 신규확진자,비수도권 누적확진자,비수도권 신규확진자
2020-01-20,1,1,1,1,1,0,0
2020-01-21,2,1,0,1,0,0,0
2020-01-22,3,1,0,1,0,0,0
2020-01-23,4,1,0,1,0,0,0
2020-01-24,5,2,1,2,1,0,0
2020-01-25,6,2,0,2,0,0,0
2020-01-26,7,3,1,3,1,0,0
2020-01-27,8,4,1,4,1,0,0
2020-01-28,9,4,0,4,0,0,0
2020-01-29,10,4,0,4,0,0,0
2020-01-30,11,7,3,7,3,0,0
2020-01-31,12,11,4,10,3,1,1
2020-02-01,13,12,1,11,1,1,0
2020-02-02,14,15,3,14,3,1,0
2020-02-03,15,15,0,14,0,1,0
2020-02-04,16,16,1,14,0,2,1
2020-02-05,17,18,2,16,2,2,0
2020-02-06,18,23,5,21,5,2,0
2020-02-07,19,24,1,22,1,2,0
2020-02-08,20,24,0,22,0,2,0
2020-02-09,21,27,3,25,3,2,0
2020-02-10,22,27,0,25,0,2,0
2020-02-11,23,29,2,27,2,2,0
2020-02-12,24,29,0,27,0,2,0
2020-02-13,25,29,0,27,0,2,0
2020-02-14,26,29,0,27,0,2,0
2020-02-15,27,29,0,27,0,2,0
2020-02-16,28,29,0,27,0,2,0
2020-02-17,29,29,0,27,0,2,0
2020-02-18,30,30,1,27,0,3,1
2020-02-19,31,52,22,34,7,18,15
2020-02-20,32,104,52,36,2,68,50
2020-02-21,33,204,100,43,7,161,93
2020-02-22,34,433,229,52,9,381,220
2020-02-23,35,602,169,57,5,545,164
2020-02-24,36,833,231,72,15,761,216
2020-02-25,37,977,144,85,13,892,131
2020-02-26,38,1261,284,103,18,1158,266
2020-02-27,39,1766,505,121,18,1645,487
2020-02-28,40,2337,571,138,17,2199,554
2020-02-29,41,3150,813,165,27,2985,786
2020-03-01,42,3736,586,182,17,3554,569
2020-03-02,43,4212,476,190,8,4022,468
2020-03-03,44,4812,600,199,9,4613,591
2020-03-04,45,5327,515,209,10,5118,505
2020-03-05,46,5766,439,222,13,5544,426
2020-03-06,47,6284,518,234,12,6050,506
2020-03-07,48,6767,483,247,13,6520,470
2020-03-08,49,7134,367,270,23,6864,344
2020-03-09,50,7382,248,292,22,7090,226
2020-03-10,51,7513,131,317,25,7196,106
2020-03-11,52,7755,242,393,76,7362,166
